Unnamed: 0,31 décembre 2024,31 décembre 2023
I - FLUX DE TRESORERIE LIES A L'ACTIVITE,,
 - Résultat de l'exercice,"  647 721 762,38 ","  303 147 617,27 "
,,
Ajustement pour:,,
 - Amortissements et provisions,  -   ,  -   
 - Variation des clients et autres créances,"  2 184 124 132,20 ","  28 757 748,84 "
 - Variation des fournisseurs et autres dettes,,
 - Variation des autres dettes,  -   ,  -   
 - Variation du report à nouveau,,
Flux de trésorerie générés par l'activité (A),"  2 831 845 894,58 ","  331 905 366,11 "
,,
II - FLUX DE TRESORERIE LIES AUX OPERATIONS D'INVESTISSEMENT,,
 - Décaissements sur acquisitions d'immobilisations corporelles,  -   ,  -   
 - Décaissements sur acquisitions d'immobilisations financières,  -   ,  -   
Flux de trésorerie liés aux opérations d'investissement (B),  -   ,  -   
,,
III - FLUX DE TRESORERIE NET PROVENANT DES ACTIVITES DE FINANCEMENT,,
 - Augmentation de capital en numéraire - Compte de l'exploitant,  -   ,  -   
 - Dividendes versés aux actionnaires,  -   ,  -   
 - Emission d'emprunt,  -   ,  -   
 - Remboursement d'emprunt,  -   ,  -   
Flux de trésorerie net provenant des activités de financement (C),  -   ,  -   
,,
 - Incidence des variations des taux de change sur liquidités et quasi-liquidités,  -   ,  -   
,,
VARIATION DE TRESORERIE DE LA PERIODE (A+B+C),"  2 831 845 894,58 ","  331 905 366,11 "
,,
 - Trésorerie à l'ouverture (1),"  803 425 486,45 ","  471 520 120,34 "
 - Trésorerie à la cloture (2),"  3 635 271 381,03 ","  803 425 486,45 "
VARIATION DE TRESORERIE (2-1),"- 2 831 845 894,58 ","- 331 905 366,11 "
